2026-03-15 10:57:19 | INFO     | CRYPTO TRADING BOT STARTING
2026-03-15 10:57:19 | INFO     | Symbol: BTC-USD
2026-03-15 10:57:19 | INFO     | Update interval: 60s
2026-03-15 10:57:19 | INFO     | Strategy: MA(10,30)
2026-03-15 10:57:19 | INFO     | ==================================================
2026-03-15 10:57:19 | INFO     | Initialized MA strategy: 10/30
2026-03-15 10:57:19 | INFO     | Starting price monitoring...
2026-03-15 10:57:19 | INFO     | Starting main loop (60s interval)
2026-03-15 10:57:20 | INFO     | BTC-USD price: $71,519.54
2026-03-15 10:58:21 | INFO     | BTC-USD price: $71,544.01
2026-03-15 10:59:21 | INFO     | BTC-USD price: $71,553.45
2026-03-15 11:00:22 | INFO     | BTC-USD price: $71,607.16
2026-03-15 11:01:22 | INFO     | BTC-USD price: $71,570.05
2026-03-15 11:01:51 | INFO     | Shutdown signal received...
2026-03-15 11:02:22 | INFO     | Bot shutdown complete
2026-03-15 11:02:22 | INFO     | Signals generated: 0
2026-03-15 16:27:45 | INFO     | ==================================================
2026-03-15 16:27:45 | INFO     | CRYPTO TRADING BOT STARTING
2026-03-15 16:27:45 | INFO     | Symbol: BTC-USD
2026-03-15 16:27:45 | INFO     | Update interval: 60s
2026-03-15 16:27:45 | INFO     | Strategy: MA(10,30)
2026-03-15 16:27:45 | INFO     | ==================================================
2026-03-15 16:27:45 | INFO     | Initialized MA strategy: 10/30
2026-03-15 16:27:45 | INFO     | Starting price monitoring...
2026-03-15 16:27:45 | INFO     | Starting main loop (60s interval)
2026-03-15 16:27:46 | INFO     | BTC-USD price: $71,528.57
2026-03-15 16:27:51 | INFO     | Shutdown signal received...
2026-03-15 16:28:46 | INFO     | Bot shutdown complete
2026-03-15 16:28:46 | INFO     | Signals generated: 0
2026-03-15 16:28:53 | INFO     | ==================================================
2026-03-15 16:28:53 | INFO     | CRYPTO TRADING BOT STARTING
2026-03-15 16:28:53 | INFO     | Symbol: BTC-USD
2026-03-15 16:28:53 | INFO     | Update interval: 60s
2026-03-15 16:28:53 | INFO     | Strategy: MA(10,30)
2026-03-15 16:28:53 | INFO     | ==================================================
2026-03-15 16:28:53 | INFO     | Initialized MA strategy: 10/30
2026-03-15 16:28:53 | INFO     | Starting price monitoring...
2026-03-15 16:28:53 | INFO     | Starting main loop (60s interval)
2026-03-15 16:28:54 | INFO     | BTC-USD price: $71,555.24
2026-03-15 16:29:54 | INFO     | BTC-USD price: $71,529.85
2026-03-15 16:30:55 | INFO     | BTC-USD price: $71,536.04
2026-03-15 16:31:55 | INFO     | BTC-USD price: $71,526.99
2026-03-15 16:32:56 | INFO     | BTC-USD price: $71,522.59
2026-03-15 16:33:56 | INFO     | BTC-USD price: $71,548.32
